№;Название объекта культурного наследия;Координата, X;Координата, Y;Адрес
234;Бывш. дом Гонцкевича;97747.97;113550.43;Большой пр., 102
235;Пожарная часть с палисадником;96374.76;112548.69;"Большой пр., 11; Съезжинская ул., 2"
236;"""Тучков буян"" (склады пеньки)";95742.92;112304.42;Большой пр., 1-а
237;Введенская гимназия с церковью Святых Кирилла и Мефодия (гимназия им. Петра Великого). Здесь учился в 1891-1898 гг. поэт Блок Александр Александрович;96955.86;113014.09;"Большой пр., 37; Шамшева ул., 3"
238;Дом Розенштейна К.И.;97619.73;113554.24;Большой пр., 75
239;Бывш. дом Розенштейна;97651.19;113565.83;Большой пр., 77
240;Доходный дом К.М. Соколовского (2 лицевых дома и 5 флигелей);97683.20;113604.84;"Большой пр., 79; Петропавловская ул., 4"
241;Памятник публицисту Добролюбову Н.А.;96768.31;112757.23;"Большой пр.; Введенская ул. (на углу, в сквере)"
242;Бюст Ленина В.И.;97161.57;113089.12;"Большой пр.; на пересечении с ул. Ленина"
243;Типография Академии наук;94468.91;111750.35;"Большой просп. Васильевского острова, 28; 9-я линия Васильевского острова, 12"
244;Жилые дома для служащих завода Л. Нобеля (комплекс с территорией);97632.49;115436.80;"Большой Сампсониевский пр., 27; Лесной проспект, 20, корпус 1-15"
245;Дом, где в 1917 г. начал работу VI съезд РСДРП(б);97813.19;115218.71;Большой Сампсониевский пр., 37
246;Собор Сампсониевский;97900.58;115228.72;Большой Сампсониевский пр., 39-а, 41
247;Выборгская фабрика-кухня с территорией;98065.10;115203.28;Большой Сампсониевский пр., 45
248;Церковь Святой Благоверной княгини Анны Кашинской с часовней подворья Кашинского Сретенского женского монастыря Тверской епархии;98300.75;115100.89;Большой Сампсониевский пр., 53
249;Казармы лейб-гвардии Московского (Литовского) полка (десять зданий, сад);98645.58;115122.90;"Большой Сампсониевский пр., 59, 61а, 63; Литовская ул., 1, 1а"
250;Детская городская больница в память Священного коронования Их Императорских Величеств (двенадцать зданий, сад с оградой);99041.49;115059.90;"Большой Сампсониевский пр., 65; Литовская ул., 2"
251;Кузнечный цех Государственного механического завода им. Карла Маркса;98848.35;114757.04;Большой Сампсониевский пр., 66, лит. О
252;Дом, где в 1944-1957 гг. жил физиолог Орбели Леон Абгарович (кв.7);96996.61;115392.95;Большой Сампсониевский пр., 7, кв. 7
253;"Производственное здание Кондитерского товарищества ""Георг Ландрин"" и труба заводская";100058.64;114732.21;Большой Сампсониевский пр., 77/7, лит. А, Б
254;Дом Санкт-Петербургского епархиального братства Пресвятой Богородицы;91871.67;115337.03;Боровая ул., 52-а
255;Церковь Покрова Пресвятой Богородицы;91907.92;115331.52;Боровая ул., 52-б
256;Дом, где в 1895 г. жил Ленин В.И.;93096.32;113693.94;"Бринько пер., 6; Садовая ул., 44"
257;Дом, где жила хореограф Ваганова Агриппина Яковлевна в 1904-1937 гг. (кв. 12, 13, 14 - б. кв. 5);92049.75;113971.40;Бронницкая ул., 7
258;Дача Леснер с участком;106195.13;113471.44;Варваринская ул., 12
259;Флигель дачи А.К. Глазунова;105947.22;113597.28;Варваринская ул., 2
260;Дача;106376.44;113514.31;Варваринская ул., 23, лит. А
261;Дом П.Н. Парусова;96475.37;113103.44;Введенская ул., 17, лит. А
262;Дом, в котором жил с 1915 по 1927 год и умер художник Б.М. Кустодиев;96557.99;112907.32;Введенская ул., 7, лит. А
263;"""Сосновая поляна""";82526.54;103594.85;вдоль Петергофского шоссе
264;Дом, где в 1908-1912 гг. жил писатель Мамин-Сибиряк Д.Н.;92250.57;114147.53;Верейская ул., 3
265;Дворцово-парковый ансамбль Петродворца;88607.74;91199.63;Верхний сад (Петродворец, Санкт-Петербургский пр., Правленская ул., Разводная ул.). Нижний парк (Петродворец, Александрийское шоссе, Морского Десанта ул., южный берег Финского залива)
266;Дом М.М. Рянгина;94710.19;116298.82;Виленский пер., 5, лит. А
267;Царскосельский железнодорожный мост;91823.303;114796.2672;"Витебское направление ж/д, ""мост через Обводный кан."", лит. А, Б"
